Title,URL
Critical Xen bug in PV memory virtualization code,https://raw.githubusercontent.com/QubesOS/qubes-secpack/master/QSBs/qsb-022-2015.txt
PyPy 4.0.0 Released – A Jit with SIMD Vectorization and More,http://morepypy.blogspot.com/2015/10/pypy-400-released-jit-with-simd.html
Time zone news,http://time.is/time_zone_news
Screenshots from developers and Unix people taken in 2002,https://anders.unix.se/2015/10/28/screenshots-from-developers--unix-people-2002/
18F micro-purchase experiment bid down to $1,https://github.com/18F/calc/issues/255#issuecomment-152193310
Researchers Say Data From an Island in Quebec Proves Humans Are Still Evolving,http://nautil.us/issue/29/scaling/the-rhythm-of-the-tide-rp
Introducing Twitch Creative,http://blog.twitch.tv/2015/10/introducing-twitch-creative/
The astronomer and the witch – how Kepler saved his mother from the stake,https://theconversation.com/the-astronomer-and-the-witch-how-kepler-saved-his-mother-from-the-stake-49332
TB Is Now the Top Infectious Killer,http://www.npr.org/sections/goatsandsoda/2015/10/28/452565249/tb-is-now-the-top-infectious-killer-even-though-deaths-are-down
China to begin two-child policy,http://www.bbc.co.uk/news/world-asia-34665539
Modsy – Home design using 3D rendering,http://techcrunch.com/2015/10/29/modsy-brings-the-virtual-when-designing-reality/
Instead of Standing, Why Not Lie Down While You Work?,http://www.fastcoexist.com/3052273/instead-of-standing-why-not-lie-down-while-you-work-this-desk-lets-you-do-both#8
Theranos, Facing Criticism, Says It Has Changed Board Structure,http://www.nytimes.com/2015/10/29/business/theranos-facing-criticism-says-it-has-changed-board-structure.html
Olark (YC S09) Is Hiring a Senior UX Designer/Lead in SF,http://www.olark.com/jobs
Practical attacks against 4G (LTE) access network protocols,http://secure-systems-aalto.blogspot.com/2015/10/lte-attacks-2015.html
Joomla SQL Injection Attacks in the Wild,https://blog.sucuri.net/2015/10/joomla-sql-injection-attacks-in-the-wild.html
Google to beam wifi to Indonesia’s rural areas with balloons,https://www.techinasia.com/indonesia-internet-google-alphabet-project-loon/
The Contest Between Gravity and Quantum Physics,http://nautil.us/issue/29/scaling/will-quantum-mechanics-swallow-relativity
When is it not preferable to specify your types first?,http://pchiusano.github.io/2015-10-28/top-down.html
Learning About Cryptography (2006),http://www.ciphersbyritter.com/LEARNING.HTM
What Makes Us Happy? (2009),http://www.theatlantic.com/magazine/archive/2009/06/what-makes-us-happy/307439/?single_page=true
Gobble Raises $10.75M for Its 10-Minute Dinner Kits,http://techcrunch.com/2015/10/29/gobble-series-a/
Building the infrastructure in Clojure for an electric-powered bikes scheme,http://blog.juxt.pro/posts/rideon.html
For the future of solar, we’ve got the tech – it’s the economics,http://arstechnica.com/science/2015/10/for-the-future-of-solar-weve-got-the-tech-its-the-economics-stupid/
Mapping the Microdistricts of New York City,https://medium.com/@karlsluis/great-big-city-tiny-little-districts-85ff9c8777cd#.wwpa3j3y3
Bread is Broken,http://www.nytimes.com/2015/11/01/magazine/bread-is-broken.html
Show HN: Code4Startup - Learn to code by cloning real life startups,http://www.code4startup.com
Show HN: Mini_printf – minimal, self-contained and verified printf(),https://github.com/wkoszek/mini_printf
Pijul version control system,https://pijul.org/
The EU’s new internet rules will hurt the continent’s startups,http://www.economist.com/news/business/21677175-eus-new-internet-rules-will-hurt-continents-startups-multi-speed-europe
